TOKEN_ID,TOKEN_NAME,Species,Location,Muscles,Armour,Helmet,Trim,Helmet Glow,Body Glow,Katanas,Katana Left,Katana Right,Robes,Shoulder Robe Right,Rare Equipment #1,Rare Equipment #2,Rare Equipment #3,Kunais,Kunai Left,Kunai Right,Shoulder Robe Left,Special Ability #1,Crossbow,Jetpack,Zweihanders,Zweihander Left,Glitchcloak,Special Ability #2,Shield,Speed,Stamina,Craftsmanship,Defence,Stealth,Leadership,Communication,Weapon Skill,Attack,Charge,Toughness,Health,Range,Damage,Intelligence,Freewill,Psychic,Magic,Battle Score,Medi Kits,Special Ability #3,Hood,Shadow Blades,Shadow Blade Right,Spears,Spear Left,Swiftcloak,Spear Right,Zweihander Right,Special Ability #4,Special Ability #5,Special Ability #6,Special Ability #7,Shadow Blade Left
0,AVAX,Diplomat,Mountains,Black Leather,Dead Red,Dead Red,Ruby Jam,Red,Red,Dual,Plasma Red,Plasma Red,Single,Empirial Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Joeminator,Diplomat,Farmland,Hard Red,Mud Farmer Red,Mud Farmer Red,Rusty Shovel,Yellow,Yellow,,,,,,Farmers Neard,Lucky Bird,Boom Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pangolin,Diplomat,Dunes,Sunset Vibe,Sunset Glimmer,Sunset Glimmer,Fire Platinum,Orange,Orange,Dual,Plasma Orange,Plasma Orange,Single,,,,,Dual,Fire Tip Kunai,Fire Tip Kunai,Scorched Print,Plasma Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rAAVE,Diplomat,Afterparty,Pearlescent Azurite,Laavender Blue,Laavender Blue,Platinum,Blue,Blue,Single,Plasma White,,,,Ghost Rave Visor,,,,,,,,Starslinger,Equipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kalao,Diplomat,Riverside,Heisenberg Blue,Crystal Silver,Crystal Silver,Snowflake,Cyan,Cyan,,,,,,,,,,,,,Final Defence,Equipped,,Single,Equipped,Metacloak,Conceled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NFTrade,Diplomat,Quarry,Azurite,Blue Shimmer,Blue Shimmer,Waveplates,Blue,Blue,Dual,Plasma Blue,Plasma Blue,Full,Traders Cloth,,,,,,,Traders Cloth,Plasma Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Luigi,Diplomat,Pizzaria,Crimson Red,Green Sheen,Italiano,Gemshine,White,White,Dual,Plasma Green,Plasma White,,,,,,,,,,,,Equipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Party,Diplomat,Dancefloor,Disco Green,Red Velvet Cake,Star Ruby,Red Velvet Cake,Green,Green,Dual,Plasma Red,Plasma Green,,,,,,,,,,Plasma Burn,,Equipped,,,,Jetburst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ape,Diplomat,Zoo,Rainbow Bananas,Banana Milk,Banana Milk,Juicy Glass,Purple,Blue,Dual,Plasma Blue,Plasma Purple,,,Banana Bunch Chain,,,,,,,Final Defence,,Equipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Wonton,Diplomat,Metropolis,Cyber Grape,Speckled Space,Purple,Speckled Space,Purple,Purple,Dual,Plasma Purple,Plasma Purple,,,,,,,,,,Plasma Burn,,Equipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gokek,Diplomat,Hillside,Spartan Tartan,Battleworn Red,Red Sheen,Forged Metal,Red,Red,Single,Plasma Red,,,,Lit Cigarette,Beanie,,Dual,Black Tip Kunai,Black Tip Kunai,,Dead Eye,Equipped,Equipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Colony,Diplomat,Lakeview,Deep Ocean,Blue Hues,Blue Hues,Titanium Ice,Blue,Purple,Single,,Plasma Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cahal,Jungle,Jungle,Green,Glossy Black,Glossy Black,Carbon Black,Orange,Orange,,,,Full,Mesh Swamp Green,,,,Single,Black Tip Kunai,,Mesh Swamp Green,Circus knives,Equipped,Equipped,,,,Starkware,Equipped,87.0,66.0,64.0,71.0,66.0,70.0,100.0,68.0,78.0,58.0,60.0,68.0,74.0,62.0,85.0,85.0,0.0,0.0,65.0,,,,,,,,,,,,,,,
13,Danton,Police,Urban,Carbon Grey,Carbon Grey,Blue Camo,Blue Camo,,Blue,Dual,Shiny,Shiny,,,,,,,,,,Herd immunity,,,,,,Bills kill,Equipped,75.0,69.0,74.0,78.0,48.0,55.0,100.0,71.0,68.0,51.0,56.0,87.0,32.0,46.0,85.0,85.0,0.0,0.0,60.0,Dual,,,,,,,,,,,,,,
14,Tonia,Construction,Construction Site,Grey,Rust,Amber,Amber,Orange,,,,,,,,,,,,,,Artisan,,,,,,Herd immunity,,62.0,61.0,118.0,35.0,44.0,-3.0,100.0,45.0,41.0,40.0,31.0,80.0,31.0,40.0,85.0,85.0,0.0,0.0,50.0,Dual,Healer,,,,,,,,,,,,,
15,Xuanqui,Snow,Arctic,White,White,Snow Camo,White,Orange,Blue,,,,Full,Mesh Maroon,,,,,,,Mesh Maroon,,Equipped,,,,,,,68.0,61.0,66.0,50.0,53.0,68.0,100.0,57.0,51.0,44.0,53.0,53.0,60.0,56.0,85.0,85.0,0.0,0.0,56.0,,,Mesh Maroon,,,,,,,,,,,,
16,Irecia,Police,Urban,Dark Blue,Dark Blue,Dark Blue,Blue Camo,,Blue,Single,,Plasma Blue,,,,,,,,,,,,,,,,,,71.0,66.0,60.0,62.0,45.0,54.0,100.0,62.0,60.0,47.0,55.0,57.0,37.0,47.0,85.0,85.0,0.0,0.0,55.0,,,,,,,,,,,,,,,
